2L 3 1/2 x 2 1/2 x 1/2,3.5,2.5,0.5,0.875,18.8,5.53,6.48,2.82,1.08,1.2,0.992,1.13,1.28,1.75,0.706
2L 3 1/2 x 2 1/2 x 3/8,3.5,2.5,0.375,0.75,14.5,4.25,5.13,2.18,1.1,1.15,0.97,1.11,1.25,1.75,0.698
2L 3 1/2 x 2 1/2 x 5/16,3.5,2.5,0.3125,0.6875,12.2,3.58,4.39,1.85,1.11,1.13,0.96,1.09,1.24,1.76,0.695
2L 3 1/2 x 2 1/2 x 1/4,3.5,2.5,0.25,0.625,9.88,2.9,3.61,1.51,1.12,1.1,0.95,1.08,1.22,1.76,0.693
2L 3 x 2 1/2 x 1/2,3,2.5,0.5,0.875,17.1,5.01,4.15,2.07,0.91,0.995,1.04,1.18,1.33,1.57,0.774
2L 3 x 2 1/2 x 7/16,3,2.5,0.4375,0.8125,15.1,4.44,3.73,1.84,0.917,0.972,1.02,1.16,1.32,1.57,0.769
2L 3 x 2 1/2 x 3/8,3,2.5,0.375,0.75,13.1,3.86,3.3,1.61,0.924,0.949,1.01,1.15,1.3,1.57,0.764
2L 3 x 2 1/2 x 5/16,3,2.5,0.3125,0.6875,11.1,3.25,2.83,1.36,0.932,0.925,1,1.14,1.29,1.57,0.76
2L 3 x 2 1/2 x 1/4,3,2.5,0.25,0.625,8.97,2.64,2.33,1.11,0.94,0.9,0.991,1.12,1.27,1.57,0.756
2L 3 x 2 1/2 x 3/16,3,2.5,0.1875,0.5625,6.82,2,1.8,0.846,0.947,0.874,0.98,1.11,1.25,1.57,0.753
2L 3 x 2 x 1/2,3,2,0.5,0.8125,15.4,4.53,3.85,2,0.922,1.08,0.795,0.94,1.1,1.47,0.684
2L 3 x 2 x 3/8,3,2,0.375,0.6875,11.9,3.5,3.07,1.56,0.937,1.03,0.771,0.911,1.07,1.48,0.675
2L 3 x 2 x 5/16,3,2,0.3125,0.625,10.1,2.96,2.64,1.32,0.945,1.01,0.76,0.897,1.05,1.48,0.671
2L 3 x 2 x 1/4,3,2,0.25,0.5625,8.18,2.4,2.18,1.08,0.953,0.98,0.749,0.883,1.03,1.48,0.668
2L 3 x 2 x 3/16,3,2,0.1875,0.5,6.24,1.83,1.69,0.828,0.961,0.952,0.739,0.869,1.02,1.49,0.666
2L 2 1/2 x 2 x 3/8,2.5,2,0.375,0.625,10.6,3.11,1.83,1.09,0.766,0.826,0.815,0.957,1.11,1.29,0.754
2L 2 1/2 x 2 x 5/16,2.5,2,0.3125,0.5625,8.97,2.64,1.58,0.931,0.774,0.803,0.804,0.943,1.1,1.29,0.748
2L 2 1/2 x 2 x 1/4,2.5,2,0.25,0.5,7.3,2.14,1.31,0.762,0.782,0.779,0.794,0.93,1.08,1.29,0.744
2L 2 1/2 x 2 x 3/16,2.5,2,0.1875,0.4375,5.57,1.64,1.02,0.585,0.79,0.754,0.784,0.916,1.07,1.29,0.74
2L 8 x 6 x 1,6,8,1,1.5,88.8,26.1,77.6,17.8,1.72,1.65,3.63,3.77,3.91,4.18,0.924
2L 8 x 6 x 7/8,6,8,0.875,1.375,78.5,23.1,69.8,15.9,1.74,1.6,3.61,3.75,3.89,4.17,0.922
2L 8 x 6 x 3/4,6,8,0.75,1.25,68,20,61.5,13.8,1.75,1.56,3.59,3.72,3.86,4.17,0.919
2L 8 x 6 x 5/8,6,8,0.625,1.125,57.3,16.8,52.8,11.8,1.77,1.51,3.57,3.7,3.84,4.16,0.917
2L 8 x 6 x 9/16,6,8,0.5625,1.0625,51.8,15.2,48.2,10.7,1.78,1.49,3.55,3.69,3.83,4.15,0.916
2L 6 x 8 x 1/2,6,8,0.5,1,46.3,13.6,43.5,9.58,1.79,1.46,3.54,3.68,3.81,4.15,0.915
2L 8 x 6 x 7/16,6,8,0.4375,0.9375,40.7,12,38.6,8.46,1.8,1.44,3.53,3.66,3.8,4.15,0.913
2L 8 x 4 x 1,4,8,1,1.5,75.2,22.1,23.3,7.87,1.03,1.04,3.94,4.08,4.23,4.11,0.983
2L 8 x 4 x 7/8,4,8,0.875,1.375,66.6,19.6,21.1,7.02,1.04,0.997,3.91,4.06,4.21,4.09,0.981
2L 8 x 4 x 3/4,4,8,0.75,1.25,57.8,17,18.7,6.14,1.05,0.949,3.89,4.03,4.18,4.07,0.98
2L 8 x 4 x 5/8,4,8,0.625,1.125,48.7,14.3,16.2,5.23,1.06,0.902,3.86,4,4.15,4.05,0.979
2L 8 x 4 x 9/16,4,8,0.5625,1.0625,44.1,13,14.9,4.77,1.07,0.878,3.85,3.99,4.13,4.04,0.978
2L 8 x 4 x 1/2,4,8,0.5,1,39.5,11.6,13.5,4.29,1.08,0.854,3.83,3.97,4.12,4.03,0.978
