CE 254 x 37.2,47.4,254,9.7,87,14.6,187,33,37.2,51,24.2062,26.2,2.01,4578.5,361,9.83,302,49,2.5,26.6,33298.4,11.3,0.802
CE 254 x 32.7,41.6,254,7.4,84,14.6,187,33,32.7,51,25.146,28.4,2.07,4245.6,336,10.13,266,45,2.5,21.2,29538.9,11.7,0.791
CE 254 x 12.5,15.9,254,4.3,38,7.1,216,19,12.5,-,7.2136,8.4,9.37,1327.8,105,9.17,14,4,0.9,1.7,1879.8,9.3,0.972
CE 254 x 9.7,12.3,254,3.9,29,5.1,232,11,9.7,-,4.572,4.2,17.24,919.9,72,8.64,5,2,0.6,0.8,657.9,8.7,0.99
CE 229 x 37.8,48.2,229,11.4,89,14.0,165,32,37.8,51,24.638,25.0,1.84,3658.7,320,8.71,315,49,2.6,28.8,27927.7,10.4,0.77
CE 229 x 35.6,45.3,229,10.2,88,14.0,165,32,35.6,51,24.9174,26.4,1.87,3533.8,310,8.84,297,47,2.6,24.9,26316.5,10.5,0.762
CE 203 x 33.9,43.2,203,10.8,89,13.3,143,30,33.9,51,25.654,26.4,1.71,2655.6,261,7.85,292,46,2.6,23.8,20193.9,9.8,0.715
CE 203 x 31.8,40.5,203,9.5,88,13.3,143,30,31.8,51,25.908,27.7,1.74,2559.8,252,7.95,274,44,2.6,20.6,19012.3,9.9,0.709
CE 203 x 29.8,37.9,203,10.2,77,12.7,146,29,29.8,51,21.336,21.4,2.08,2264.3,223,7.72,184,33,2.2,18.4,12836.0,9.1,0.779
CE 203 x 27.8,35.5,203,9.0,76,12.7,146,29,27.8,51,21.5646,22.6,2.11,2181.1,215,7.85,173,32,2.2,15.8,12084.1,9.3,0.773
CE 203 x 12.6,16.1,203,4.5,47,7.9,162,21,12.6,51,10.8712,13.8,5.39,969.8,95,7.75,26,7,1.3,2.4,2204.7,8.2,0.91
CE 178 x 33.8,43.0,178,12.8,91,12.7,121,29,33.8,51,26.416,25.7,1.53,1972.9,221,6.78,301,46,2.6,26.0,15655.6,8.9,0.661
CE 178 x 28.4,36.2,178,8.9,88,12.7,121,29,28.4,51,27.432,29.2,1.60,1794.0,202,7.04,252,42,2.6,16.9,13238.8,9.4,0.638
CE 152 x 26.8,34.1,152,9.6,89,12.1,98,27,26.8,51,28.448,29.7,1.42,1236.2,162,6.02,245,40,2.7,15.8,9291.3,8.8,0.562
CE 152 x 24.3,30.9,152,9.5,76,12.1,98,27,24.3,44,23.5458,23.6,1.66,1082.2,142,5.92,157,30,2.3,14.0,5934.6,7.9,0.643
CE 152 x 22.8,29.0,152,8.6,89,9.8,108,22,22.8,51,26.67,29.5,1.75,1053.1,138,6.05,204,33,2.7,9.3,8056.1,8.7,0.579
CE 152 x 22.5,28.6,152,8.0,75,12.1,98,27,22.5,44,23.876,24.9,1.69,1036.4,136,6.02,144,28,2.2,11.9,5505.0,8.1,0.634
CE 152 x 17.9,22.8,152,7.9,64,9.5,108,22,17.9,38,17.8816,18.4,2.52,778.4,102,5.84,77,17,1.8,6.5,3034.5,7.1,0.74
