2L 127 x 76 x 11,127,76.2,11.11,22.23,33.48,42.71,699.27,83.9,4.04,4.37,2.79,3.12,3.51,6.22,0.63
2L 127 x 76 x 10,127,76.2,9.53,20.64,29.02,36.97,611.86,72.76,4.06,4.29,2.77,3.1,3.45,6.22,0.62
2L 127 x 76 x 8,127,76.2,7.94,19.05,24.41,31.03,520.29,61.29,4.09,4.24,2.74,3.07,3.43,6.25,0.62
2L 127 x 76 x 6,127,76.2,6.35,17.46,19.64,25.03,424.56,49.65,4.11,4.17,2.72,3.02,3.38,6.25,0.62
2L 102 x 89 x 13,101.6,88.9,12.7,22.23,35.42,45.23,441.21,62.93,3.12,3.15,3.66,3.99,4.37,5.44,0.78
2L 102 x 89 x 10,101.6,88.9,9.53,19.05,27.08,34.52,345.47,48.51,3.18,3.05,3.61,3.94,4.29,5.44,0.78
2L 102 x 89 x 8,101.6,88.9,7.94,17.46,22.77,29.03,294.28,40.97,3.18,2.97,3.56,3.89,4.27,5.44,0.78
2L 102 x 89 x 6,101.6,88.9,6.35,15.88,18.45,23.42,240.58,33.1,3.2,2.9,3.53,3.86,4.22,5.44,0.77
2L 102 x 76 x 16,101.6,76.2,15.88,25.4,40.33,51.48,499.48,74.73,3.12,3.48,3.07,3.43,3.81,5.13,0.73
2L 102 x 76 x 13,101.6,76.2,12.7,22.23,32.89,42,416.23,61.45,3.15,3.35,3.02,3.35,3.73,5.13,0.72
2L 102 x 76 x 10,101.6,76.2,9.53,19.05,25.15,32.13,327.99,47.36,3.2,3.23,2.97,3.3,3.66,5.16,0.72
2L 102 x 76 x 8,101.6,76.2,7.94,17.46,21.13,27.03,279.71,39.98,3.23,3.18,2.95,3.28,3.63,5.16,0.71
2L 102 x 76 x 6,101.6,76.2,6.35,15.88,17.11,21.81,228.51,32.45,3.23,3.1,2.92,3.23,3.58,5.16,0.71
2L 89 x 76 x 13,88.9,76.2,12.7,22.23,30.66,38.97,287.62,47.52,2.72,2.84,3.12,3.48,3.86,4.7,0.78
2L 89 x 76 x 11,88.9,76.2,11.11,20.64,27.08,34.45,258.06,42.28,2.74,2.77,3.1,3.45,3.84,4.7,0.78
2L 89 x 76 x 10,88.9,76.2,9.53,19.05,23.51,29.87,226.85,36.71,2.77,2.72,3.07,3.43,3.78,4.7,0.77
2L 89 x 76 x 8,88.9,76.2,7.94,17.46,19.79,25.23,194.38,31.14,2.77,2.67,3.05,3.38,3.76,4.7,0.77
2L 89 x 76 x 6,88.9,76.2,6.35,15.88,16.07,20.39,159.83,25.4,2.79,2.59,3.02,3.35,3.71,4.7,0.77
2L 89 x 64 x 13,88.9,63.5,12.7,22.23,27.98,35.68,269.72,46.21,2.74,3.05,2.52,2.87,3.25,4.45,0.71
2L 89 x 64 x 10,88.9,63.5,9.53,19.05,21.58,27.42,213.53,35.72,2.79,2.92,2.46,2.82,3.18,4.45,0.7
2L 89 x 64 x 8,88.9,63.5,7.94,17.46,18.16,23.1,182.73,30.32,2.82,2.87,2.44,2.77,3.15,4.47,0.7
2L 89 x 64 x 6,88.9,63.5,6.35,15.88,14.7,18.71,150.26,24.74,2.84,2.79,2.41,2.74,3.1,4.47,0.69
2L 76 x 64 x 13,76.2,63.5,12.7,22.23,25.45,32.32,172.74,33.92,2.31,2.53,2.64,3,3.38,3.99,0.77
2L 76 x 64 x 11,76.2,63.5,11.11,20.64,22.47,28.65,155.25,30.15,2.33,2.47,2.59,2.95,3.35,3.99,0.77
