IR 973 x 653.3,832.2564,973,34.5,432,62.0,784,86,48,653.3,139.7,114,0.362,1290317,26547,39.4,82830,3851,10.0,30644,6014,8033,171325883,981,65348,5588,15256
IR 960 x 584.8,748.3856,960,31.0,427,55.9,784,80,46,584.8,139.7,113,0.402,1144636,23761,39.1,72840,3409,9.9,27366,5326,5869,148768870,968,57856,5014,13585
IR 950 x 534.2,677.418,950,28.4,424,51.1,784,75,44,534.2,139.7,112,0.437,1032254,21631,38.9,65348,3081,9.8,24745,4785,4495,132119647,955,51613,4556,12307
IR 942 x 488.1,621.93424,942,25.9,422,47.0,784,71,44,488.1,139.7,112,0.476,936521,19828,38.9,59105,2802,9.8,22614,4343,3501,118424317,948,47034,4162,11209
IR 932 x 446.4,569.67628,932,24.0,424,42.7,784,67,43,446.4,139.7,112,0.516,844950,18190,38.6,54110,2556,9.7,20648,3949,2672,107145811,942,42456,3785,10193
IR 927 x 416.7,531.61184,927,22.5,422,39.9,784,64,41,416.7,139.7,111,0.551,786677,16879,38.4,49948,2360,9.7,19173,3654,2189,98284127,935,39292,3540,9488
IR 922 x 386.9,493.5474,922,21.3,422,36.6,784,61,41,386.9,139.7,110,0.598,720080,15617,38.1,45369,2163,9.6,17698,3343,1727,88616836,929,35713,3228,8718
IR 950 x 381,486.45064,950,24.4,310,43.9,816,63,33,381.0,139.7,80,0.697,699269,14666,37.8,21977,1417,6.7,17043,2245,2202,45114026,703,23975,2851,8456
IR 917 x 364.6,465.16036,917,20.3,419,34.3,784,58,41,364.6,139.7,110,0.638,670133,14666,38.1,42039,2016,9.5,16551,3114,1440,81903439,923,33257,3015,8161
IR 942 x 345.3,439.35396,942,22.1,307,39.9,816,59,32,345.3,139.7,79,0.768,624347,13257,37.6,19480,1265,6.7,15338,1999,1648,39743308,697,21311,2573,7604
IR 912 x 342.3,436.12816,912,19.3,419,32.0,784,56,40,342.3,139.7,109,0.681,624347,13716,37.8,39126,1868,9.5,15453,2884,1190,75727114,923,30801,2802,7620
IR 932 x 312.5,398.70888,932,21.1,310,34.5,816,54,32,312.5,139.7,78,0.870,549425,11782,37.1,17107,1106,6.6,13650,1753,1165,34372591,697,18564,2229,6751
IR 927 x 288.7,367.7412,927,19.4,307,32.0,816,51,30,288.7,139.7,78,0.941,503640,10881,37.1,15609,1014,6.5,12569,1601,924,31150161,690,16941,2065,6211
IR 922 x 270.8,345.80576,922,18.4,307,30.0,816,49,30,270.8,139.7,77,1.004,470342,10209,36.8,14443,944,6.5,11766,1486,770,28733338,684,15734,1934,5817
IR 919 x 253,323.22516,919,17.3,305,27.9,816,47,30,253.0,139.7,77,1.075,437043,9521,36.8,13319,872,6.4,10947,1373,629,26423929,677,14526,1786,5408
IR 914 x 238.1,303.2252,914,16.5,305,25.9,816,45,29,238.1,139.7,77,1.157,406242,8882,36.6,12279,805,6.4,10226,1267,516,24248789,677,13361,1655,5047
IR 912 x 223.2,285.16072,912,15.9,305,23.9,816,43,29,223.2,139.7,76,1.252,376273,8259,36.3,11238,739,6.3,9521,1162,420,22100502,677,12237,1526,4703
IR 904 x 200.9,256.12852,904,15.2,305,20.1,816,39,29,200.9,139.7,74,1.484,324661,7194,35.6,9365,618,6.0,8341,978,291,18260439,671,10198,1277,4113
IR 977 x 921.2,1167.7396,977,50.0,430,89.9,756,111,44,921.2,139.7,115,0.252,1739847,35560,38.6,119458,5572,10.1,41951,8800,23600,233626204,955,91987,7587,20975
IR 963 x 843.8,1070.9656,963,46.0,425,83.1,756,103,43,843.8,139.7,113,0.272,1569192,32610,38.4,107388,5047,10.0,38182,7948,18481,206235546,935,82830,6965,19173
IR 949 x 766.4,974.1916,949,41.9,421,75.9,756,97,41,766.4,139.7,112,0.295,1402700,29661,37.8,95317,4523,9.9,34577,7096,14069,180456103,923,73673,6309,17370
IR 935 x 696.5,883.8692,935,38.6,418,69.1,756,89,40,696.5,139.7,111,0.323,1252857,26711,37.6,84495,4048,9.8,30972,6342,10656,157630554,903,65348,5703,15519
IR 923 x 631,799.9984,923,35.1,414,63.0,756,84,37,631.0,139.7,110,0.354,1119663,24253,37.3,74922,3622,9.7,27858,5654,8033,138027436,890,58272,5162,13962
IR 914 x 575.9,735.4824,914,32.0,411,57.9,756,78,35,575.9,139.7,109,0.382,1011442,22123,37.1,67429,3277,9.6,25564,5113,6160,123257963,877,52445,4703,12733
IR 904 x 526.8,670.9664,904,29.5,409,53.1,752,73,35,526.8,139.7,108,0.417,915709,20320,36.8,60770,2966,9.5,23270,4621,4787,109831170,871,47034,4277,11569
IR 894 x 473.2,603.86976,894,26.4,406,48.0,752,68,33,473.2,139.7,108,0.457,811651,18190,36.8,53694,2638,9.4,20812,4097,3513,95867305,858,41623,3851,10340
IR 884 x 433.1,552.90212,884,24.4,404,43.9,752,64,33,433.1,139.7,107,0.500,736730,16715,36.6,48283,2393,9.3,19009,3703,2710,85394406,852,37711,3507,9406
IR 876 x 391.4,499.999,876,22.1,401,39.9,752,60,32,391.4,139.7,106,0.547,661808,15060,36.3,43288,2147,9.3,17043,3310,2027,75727114,839,33631,3163,8456
IR 869 x 358.6,458.0636,869,21.1,404,35.6,752,56,32,358.6,139.7,106,0.606,591049,13618,35.8,38834,1934,9.2,15404,2982,1507,67402503,839,30010,2819,7636
IR 861 x 328.9,420.64432,861,19.7,401,32.3,752,52,30,328.9,139.7,105,0.661,536939,12438,35.8,34963,1737,9.1,14044,2687,1157,60152034,832,27055,2556,6948
IR 856 x 299.1,381.93472,856,18.2,399,29.2,752,49,30,299.1,139.7,105,0.732,482828,11242,35.6,31176,1560,9.0,12667,2409,866,53170102,826,24141,2311,6276
IR 859 x 251.5,319.3542,859,17.0,292,31.0,752,49,30,251.5,139.7,75,0.949,386679,8997,34.8,12903,883,6.4,10307,1383,737,22127355,605,13694,1770,5096
IR 851 x 226.2,289.03168,851,16.1,295,26.9,752,45,29,226.2,139.7,75,1.079,339645,7981,34.3,11363,773,6.3,9160,1211,516,19280875,605,11904,1532,4523
IR 846 x 209.8,268.38656,846,15.4,292,24.4,752,42,29,209.8,139.7,74,1.185,310092,7341,34.0,10239,700,6.2,8423,1096,404,17266856,602,10739,1390,4162
