HSS 5 x 5 x 1/8,5,5,0.116,8.15,2.23,8.8,3.52,1.99,8.8,3.52,1.99,4.07,4.07,13.7
HSS 4.5 x 4.5 x 1/2,4.5,4.5,0.465,24.9,6.95,18.1,8.03,1.61,18.1,8.03,1.61,10.2,10.2,31.3
HSS 4.5 x 4.5 x 3/8,4.5,4.5,0.349,19.7,5.48,15.3,6.79,1.67,15.3,6.79,1.67,8.36,8.36,25.7
HSS 4.5 x 4.5 x 5/16,4.5,4.5,0.291,16.9,4.68,13.5,6,1.7,13.5,6,1.7,7.27,7.27,22.3
HSS 4.5 x 4.5 x 1/4,4.5,4.5,0.233,13.9,3.84,11.4,5.08,1.73,11.4,5.08,1.73,6.06,6.06,18.5
HSS 4.5 x 4.5 x 3/16,4.5,4.5,0.174,10.7,2.93,9.02,4.01,1.75,9.02,4.01,1.75,4.71,4.71,14.4
HSS 4.5 x 4.5 x 1/8,4.5,4.5,0.116,7.3,2,6.35,2.82,1.78,6.35,2.82,1.78,3.27,3.27,9.92
HSS 4 x 4 x 1/2,4,4,0.465,21.5,6.02,11.9,5.97,1.41,11.9,5.97,1.41,7.7,7.7,21
HSS 4 x 4 x 3/8,4,4,0.349,17.2,4.78,10.3,5.13,1.47,10.3,5.13,1.47,6.39,6.39,17.5
HSS 4 x 4 x 5/16,4,4,0.291,14.8,4.1,9.14,4.57,1.49,9.14,4.57,1.49,5.59,5.59,15.3
HSS 4 x 4 x 1/4,4,4,0.233,12.2,3.37,7.8,3.9,1.52,7.8,3.9,1.52,4.69,4.69,12.8
HSS 4 x 4 x 3/16,4,4,0.174,9.4,2.58,6.21,3.1,1.55,6.21,3.1,1.55,3.67,3.67,9.96
HSS 4 x 4 x 1/8,4,4,0.116,6.45,1.77,4.4,2.2,1.58,4.4,2.2,1.58,2.56,2.56,6.91
HSS 3.5 x 3.5 x 3/8,3.5,3.5,0.349,14.6,4.09,6.49,3.71,1.26,6.49,3.71,1.26,4.69,4.69,11.2
HSS 3.5 x 3.5 x 5/16,3.5,3.5,0.291,12.7,3.52,5.84,3.34,1.29,5.84,3.34,1.29,4.14,4.14,9.89
HSS 3.5 x 3.5 x 1/4,3.5,3.5,0.233,10.5,2.91,5.04,2.88,1.32,5.04,2.88,1.32,3.5,3.5,8.35
HSS 3.5 x 3.5 x 3/16,3.5,3.5,0.174,8.13,2.24,4.05,2.31,1.35,4.05,2.31,1.35,2.76,2.76,6.56
HSS 3.5 x 3.5 x 1/8,3.5,3.5,0.116,5.6,1.54,2.9,1.66,1.37,2.9,1.66,1.37,1.93,1.93,4.58
HSS 3 x 3 x 3/8,3,3,0.349,12.1,3.39,3.78,2.52,1.06,3.78,2.52,1.06,3.25,3.25,6.64
HSS 3 x 3 x 5/16,3,3,0.291,10.5,2.94,3.45,2.3,1.08,3.45,2.3,1.08,2.9,2.9,5.94
HSS 3 x 3 x 1/4,3,3,0.233,8.78,2.44,3.02,2.01,1.11,3.02,2.01,1.11,2.48,2.48,5.08
HSS 3 x 3 x 3/16,3,3,0.174,6.85,1.89,2.46,1.64,1.14,2.46,1.64,1.14,1.97,1.97,4.03
HSS 3 x 3 x 1/8,3,3,0.116,4.75,1.3,1.78,1.19,1.17,1.78,1.19,1.17,1.4,1.4,2.84
HSS 2.5 x 2.5 x 5/16,2.5,2.5,0.291,8.4,2.35,1.82,1.46,0.88,1.82,1.46,0.88,1.88,1.88,3.2
HSS 2.5 x 2.5 x 1/4,2.5,2.5,0.233,7.08,1.97,1.63,1.3,0.908,1.63,1.3,0.908,1.63,1.63,2.79
HSS 2.5 x 2.5 x 3/16,2.5,2.5,0.174,5.57,1.54,1.35,1.08,0.937,1.35,1.08,0.937,1.32,1.32,2.25
HSS 2.5 x 2.5 x 1/8,2.5,2.5,0.116,3.9,1.07,0.998,0.799,0.965,0.998,0.799,0.965,0.947,0.947,1.61
HSS 2.25 x 2.25 x 1/4,2.25,2.25,0.233,6.23,1.74,1.13,1.01,0.806,1.13,1.01,0.806,1.28,1.28,1.96
HSS 2.25 x 2.25 x 3/16,2.25,2.25,0.174,4.94,1.37,0.953,0.847,0.835,0.953,0.847,0.835,1.04,1.04,1.6
HSS 2.25 x 2.25 x 1/8,2.25,2.25,0.116,3.47,0.956,0.712,0.633,0.863,0.712,0.633,0.863,0.755,0.755,1.15
HSS 2 x 2 x 1/4,2,2,0.233,5.38,1.51,0.747,0.747,0.704,0.747,0.747,0.704,0.964,0.964,1.31
HSS 2 x 2 x 3/16,2,2,0.174,4.3,1.19,0.641,0.641,0.733,0.641,0.641,0.733,0.797,0.797,1.09
HSS 2 x 2 x 1/8,2,2,0.116,3.04,0.84,0.486,0.486,0.761,0.486,0.486,0.761,0.584,0.584,0.796
HSS 1.75 x 1.75 x 3/16,1.75,1.75,0.174,3.66,1.02,0.405,0.463,0.631,0.405,0.463,0.631,0.585,0.585,0.699
HSS 1.625 x 1.625 x 3/16,1.625,1.625,0.174,3.34,0.932,0.313,0.385,0.58,0.313,0.385,0.58,0.491,0.491,0.544
HSS 1.625 x 1.625 x 1/8,1.625,1.625,0.116,2.41,0.666,0.246,0.303,0.608,0.246,0.303,0.608,0.37,0.37,0.41
HSS 1.5 x 1.5 x 3/16,1.5,1.5,0.174,3.02,0.845,0.236,0.315,0.528,0.236,0.315,0.528,0.406,0.406,0.414
HSS 1.5 x 1.5 x 1/8,1.5,1.5,0.116,2.19,0.608,0.188,0.251,0.557,0.188,0.251,0.557,0.309,0.309,0.316
HSS 1.25 x 1.25 x 3/16,1.25,1.25,0.174,2.38,0.671,0.122,0.195,0.426,0.122,0.195,0.426,0.259,0.259,0.218
HSS 1.25 x 1.25 x 1/8,1.25,1.25,0.116,1.77,0.492,0.102,0.162,0.454,0.102,0.162,0.454,0.204,0.204,0.174
HSS 32 x 24 x 5/8,32,24,0.625,225.8,66.4,9880,617,12.2,6390,533,9.81,733,604,12600
HSS 32 x 24 x 1/2,32,24,0.5,183.5,53.9,8160,510,12.3,5280,440,9.89,601,495,10100
HSS 32 x 24 x 3/8,32,24,0.375,138.95,40.8,6250,391,12.4,4050,337,9.96,458,378,7670
HSS 30 x 24 x 5/8,30,24,0.625,217.3,63.9,8480,565,11.5,6050,504,9.73,668,575,11400
HSS 30 x 24 x 1/2,30,24,0.5,176.7,51.9,7010,468,11.6,5000,417,9.82,548,472,9220
HSS 30 x 24 x 3/8,30,24,0.375,133.84,39.3,5380,359,11.7,3840,320,9.88,418,360,6990
HSS 28 x 24 x 5/8,28,24,0.625,208.79,61.4,7210,515,10.8,5710,476,9.65,605,546,10300
HSS 28 x 24 x 1/2,28,24,0.5,169.89,49.9,5970,426,10.9,4730,394,9.73,497,448,8330
HSS 28 x 24 x 3/8,28,24,0.375,128.74,37.8,4580,327,11,3630,302,9.79,379,342,6320
HSS 26 x 24 x 5/8,26,24,0.625,200.28,58.9,6060,466,10.1,5370,447,9.55,545,517,9240
HSS 26 x 24 x 1/2,26,24,0.5,163.08,47.9,5020,386,10.2,4450,371,9.64,448,425,7460
HSS 26 x 24 x 3/8,26,24,0.375,123.64,36.3,3860,297,10.3,3420,285,9.7,342,324,5660
HSS 24 x 22 x 5/8,24,22,0.625,183.27,53.9,4680,390,9.33,4110,373,8.73,458,432,7150
HSS 24 x 22 x 1/2,24,22,0.5,149.47,43.9,3900,325,9.42,3420,311,8.82,378,356,5780
HSS 24 x 22 x 3/8,24,22,0.375,113.43,33.3,3000,250,9.49,2630,239,8.89,289,273,4390
HSS 22 x 20 x 5/8,22,20,0.625,166.25,48.9,3530,321,8.51,3060,306,7.91,379,355,5400
HSS 22 x 20 x 1/2,22,20,0.5,135.86,39.9,2950,269,8.6,2560,256,8,313,294,4370
HSS 22 x 20 x 3/8,22,20,0.375,103.22,30.3,2280,207,8.67,1970,197,8.07,240,225,3330
HSS 20 x 18 x 5/8,20,18,0.625,149.24,43.9,2590,259,7.69,2210,245,7.1,307,286,3960
