W 36 x 182,53.6,36.3,0.725,12.1,1.18,32-1/8,1.93,1.1875,182,05/01/2002,3.05,2.55,11300,623,14.5,347,57.6,2.55,718,90.7,18.5,107000,106,378,118,355
W 36 x 170,50.1,36.2,0.68,12,1.1,32-1/8,1.85,1.1875,170,05/01/2002,3.04,2.73,10500,581,14.5,320,53.2,2.53,668,83.8,15.1,98400,105,349,109,330
W 36 x 160,47,36,0.65,12,1.02,32-1/8,1.77,1.125,160,05/01/2002,3.02,2.94,9760,542,14.4,295,49.1,2.5,624,77.3,12.4,90300,105,321,101,308
W 36 x 150,44.2,35.9,0.625,12,0.94,32-1/8,1.69,1.125,150,05/01/2002,2.99,3.18,9040,504,14.3,270,45.1,2.47,581,70.9,10.1,82300,105,294,93.1,287
W 36 x 135,39.7,35.6,0.6,12,0.79,32-1/8,1.54,1.125,135,05/01/2002,2.93,3.77,7800,439,14,225,37.7,2.38,509,59.7,7,68000,104,245,77.9,251
W 33 x 619,181,38.47,1.97,16.91,3.54,29/03/2004,4.375,1.75,619,05/01/2002,4.51,0.64,41800,2170,15.2,2870,340,3.98,2560,537,567,870000,148,2210,463,1280
W 33 x 567,166,37.91,1.81,16.75,3.27,29/03/2004,4.0625,1.6875,567,05/01/2002,4.46,0.69,37700,1990,15.1,2580,308,3.94,2330,485,444,768000,145,1990,425,1170
W 33 x 515,151,37.36,1.65,16.59,2.99,29/03/2004,3.8125,1.625,515,05/01/2002,4.42,0.75,33700,1810,14.9,2290,276,3.89,2110,433,338,672000,143,1770,385,1060
W 33 x 468,137,36.81,1.52,16.455,2.72,29/03/2004,3.5,1.5625,468,05/01/2002,4.37,0.82,30100,1630,14.8,2030,247,3.85,1890,387,256,587000,140,1570,348,947
W 33 x 424,124,36.34,1.38,16.315,2.48,29/03/2004,3.3125,1.4375,424,05/01/2002,4.33,0.9,26900,1480,14.7,1800,221,3.81,1700,345,193,514000,138,1400,315,852
W 33 x 387,114,36,1.26,16.2,2.28,29/03/2004,3.07,1.375,387,05/01/2002,4.3,0.97,24300,1350,14.6,1620,200,3.77,1560,312,148,459000,136,1260,287,777
W 33 x 354,104,35.6,1.16,16.1,2.09,29/05/2008,2.88,1.375,354,05/01/2002,4.27,1.06,22000,1240,14.5,1460,181,3.74,1420,282,115,409000,135,1130,261,706
W 33 x 318,93.6,35.2,1.04,16,1.89,29/05/2008,2.68,1.3125,318,05/01/2002,4.24,1.16,19500,1110,14.5,1290,161,3.71,1270,250,84.4,357000,133,1000,235,631
W 33 x 291,85.7,34.8,0.96,15.9,1.73,29/05/2008,2.52,1.3125,291,05/01/2002,4.21,1.27,17700,1020,14.4,1160,146,3.68,1160,226,65.1,318000,132,906,214,574
W 33 x 263,77.5,34.5,0.87,15.8,1.57,29/05/2008,2.36,1.25,263,05/01/2002,4.18,1.39,15900,919,14.3,1040,131,3.66,1040,202,48.7,282000,130,808,193,516
W 33 x 241,71,34.2,0.83,15.9,1.4,29/05/2008,2.19,1.25,241,05/01/2002,4.17,1.54,14200,831,14.1,933,118,3.62,940,182,36.2,251000,130,721,172,466
W 33 x 221,65.2,33.9,0.775,15.8,1.27,29/05/2008,2.06,1.1875,221,05/01/2002,4.15,1.68,12900,759,14.1,840,106,3.59,857,164,27.8,224000,129,650,156,424
W 33 x 201,59.2,33.7,0.715,15.7,1.15,29/05/2008,1.94,1.1875,201,05/01/2002,4.12,1.86,11600,686,14,749,95.2,3.56,773,147,20.8,198000,128,580,141,383
W 33 x 169,49.5,33.8,0.67,11.5,1.22,29/05/2008,1.92,1.1875,169,05/01/2002,2.95,2.41,9290,549,13.7,310,53.9,2.5,629,84.4,17.7,82400,93.7,329,108,311
W 33 x 152,44.8,33.5,0.635,11.6,1.06,29/05/2008,1.76,1.125,152,05/01/2002,2.94,2.74,8160,487,13.5,273,47.2,2.47,559,73.9,12.4,71800,93.8,286,93.5,276
W 33 x 141,41.6,33.3,0.605,11.5,0.96,29/05/2008,1.66,1.125,141,05/01/2002,2.92,3.01,7450,448,13.4,246,42.7,2.43,514,66.9,9.7,64300,93.3,258,84.8,254
W 33 x 130,38.3,33.1,0.58,11.5,0.855,29/05/2008,1.56,1.125,130,05/01/2002,2.88,3.36,6710,406,13.2,218,37.9,2.39,467,59.5,7.37,56600,92.8,228,75.3,230
W 33 x 118,34.7,32.9,0.55,11.5,0.74,29/05/2008,1.44,1.125,118,05/01/2002,2.84,3.87,5900,359,13,187,32.6,2.32,415,51.3,5.3,48200,92.2,196,64.9,204
W 30 x 581,170,35.39,1.97,16.2,3.54,26/03/2004,4.3125,1.6875,581,05/01/2002,4.34,0.62,33000,1870,13.9,2530,312,3.86,2210,492,537,636000,129,1850,402,1110
W 30 x 526,154,34.76,1.79,16.02,3.23,26/03/2004,4,1.625,526,05/01/2002,4.29,0.67,29300,1680,13.8,2230,278,3.8,1990,438,405,550000,126,1630,364,993
W 30 x 477,140,34.21,1.63,15.865,2.95,26/03/2004,3.75,1.5625,477,05/01/2002,4.24,0.73,26100,1530,13.7,1970,249,3.75,1790,390,307,480000,124,1450,329,896
W 30 x 433,127,33.66,1.5,15.725,2.68,26/03/2004,3.4375,1.5,433,05/01/2002,4.2,0.8,23200,1380,13.5,1750,222,3.71,1610,348,231,417000,122,1280,297,805
W 30 x 391,115,33.2,1.36,15.6,2.44,26/01/2002,3.23,1.5,391,05/01/2002,4.16,0.87,20700,1250,13.4,1550,198,3.67,1450,310,173,366000,120,1140,267,721
