WT 16.5 x 70.5,20.8,16.7,0.605,11.5,0.96,1.66,70.5,552,44.7,5.15,4.29,123,21.3,2.43,4.84,35.4,6.85,0.691
WT 16.5 x 65,19.2,16.5,0.58,11.5,0.855,1.56,65,513,42.1,5.18,4.36,109,18.9,2.38,3.67,29.3,6.92,0.677
WT 16.5 x 59,17.3,16.4,0.55,11.5,0.74,1.44,59,469,39.2,5.2,4.47,93.5,16.3,2.32,2.64,23.4,7.02,0.659
WT 15 x 238.5,70,17.105,1.63,15.865,2.95,3.75,238.5,1550,121,4.7,4.3,987,124,3.75,151,1170,6.65,0.819
WT 15 x 195.5,57.6,16.6,1.36,15.6,2.44,3.23,195.5,1220,96.9,4.61,4,774,99.2,3.67,86.3,636,6.51,0.818
WT 15 x 178.5,52.5,16.4,1.24,15.5,2.24,3.03,178.5,1090,87.2,4.56,3.87,693,89.6,3.64,66.6,478,6.44,0.818
WT 15 x 163,47.9,16.2,1.14,15.4,2.05,2.84,163,981,78.8,4.52,3.76,622,81,3.6,51.2,361,6.4,0.817
WT 15 x 146,42.9,16,1.02,15.3,1.85,2.64,146,861,69.6,4.48,3.62,549,71.9,3.58,37.5,257,6.33,0.819
WT 15 x 130.5,38.4,15.8,0.93,15.2,1.65,2.44,130.5,765,62.4,4.46,3.54,480,63.3,3.53,26.9,184,6.31,0.815
WT 15 x 117.5,34.6,15.7,0.83,15.1,1.5,2.29,117.5,674,55.1,4.41,3.41,427,56.8,3.51,20.1,133,6.24,0.818
WT 15 x 105.5,31.1,15.5,0.775,15.1,1.32,2.1,105.5,610,50.5,4.43,3.39,378,50.1,3.49,14.1,96.4,6.26,0.81
WT 15 x 95.5,28.1,15.3,0.71,15,1.19,1.97,95.5,549,45.7,4.42,3.34,336,44.7,3.46,10.5,71.2,6.25,0.807
WT 15 x 86.5,25.5,15.2,0.655,15,1.07,1.85,86.5,497,41.7,4.42,3.31,299,39.9,3.42,7.78,53,6.24,0.802
WT 15 x 74,21.7,15.3,0.65,10.5,1.18,1.83,74,466,40.6,4.63,3.84,114,21.7,2.28,7.24,37.6,6.11,0.717
WT 15 x 66,19.4,15.2,0.615,10.5,1,1.65,66,421,37.4,4.66,3.9,98,18.6,2.25,4.85,28.5,6.19,0.698
WT 15 x 62,18.2,15.1,0.585,10.5,0.93,1.58,62,396,35.3,4.66,3.9,90.4,17.2,2.23,3.98,23.9,6.21,0.694
WT 15 x 58,17.1,15,0.565,10.5,0.85,1.5,58,373,33.7,4.67,3.94,82.1,15.6,2.19,3.21,20.5,6.24,0.683
WT 15 x 54,15.9,14.9,0.545,10.5,0.76,1.41,54,349,32,4.69,4.01,73,13.9,2.15,2.49,17.3,6.3,0.668
