MC 12 x 45,13.2,12,0.712,4.01,0.7,9-3/8,1.3125,45,2-1/2,1.04,0.844,4.27,252,41.9,4.36,15.8,5.31,1.09,2.34,374,4.88,0.851
MC 12 x 40,11.8,12,0.59,3.89,0.7,9-3/8,1.3125,40,2-1/2,1.04,0.952,4.41,234,39,4.46,14.2,4.98,1.1,1.69,336,5,0.841
MC 12 x 35,10.3,12,0.467,3.77,0.7,9-3/8,1.3125,35,2-1/2,1.05,1.07,4.55,216,36.1,4.59,12.6,4.65,1.11,1.24,298,5.17,0.832
MC 12 x 31,9.12,12,0.37,3.67,0.7,9-3/8,1.3125,31,2-1/2,1.08,1.17,4.67,202,33.7,4.71,11.3,4.37,1.11,1,267,5.33,0.822
MC 12 x 10.6,3.1,12,0.19,1.5,0.309,10-1/2,0.75,10.6,---,0.269,0.284,25.9,55.3,9.22,4.22,0.378,0.307,0.349,0.0596,11.7,4.27,0.983
MC 10 x 41.1,12.1,10,0.796,4.32,0.575,7-3/8,1.3125,41.1,2-1/2,1.09,0.864,4.02,157,31.5,3.61,15.7,4.85,1.14,2.26,269,4.25,0.789
MC 10 x 33.6,9.87,10,0.575,4.1,0.575,7-3/8,1.3125,33.6,2-1/2,1.09,1.06,4.24,139,27.8,3.75,13.1,4.35,1.15,1.2,224,4.48,0.769
MC 10 x 28.5,8.37,10,0.425,3.95,0.575,7-3/8,1.3125,28.5,2-1/2,1.12,1.21,4.4,126,25.3,3.89,11.3,3.99,1.16,0.791,193,4.67,0.751
MC 10 x 25,7.35,10,0.38,3.41,0.575,7-3/8,1.3125,25,2,0.953,1.03,5.11,110,22,3.87,7.25,2.96,0.993,0.638,124,4.46,0.802
MC 10 x 22,6.45,10,0.29,3.32,0.575,7-3/8,1.3125,22,2,0.99,1.12,5.25,102,20.5,3.99,6.4,2.75,0.997,0.51,110,4.61,0.791
MC 10 x 8.4,2.46,10,0.17,1.5,0.28,8-1/2,0.75,8.4,---,0.284,0.332,23.799,31.9,6.39,3.61,0.326,0.268,0.364,0.0413,7,3.67,0.972
MC 10 x 6.5,1.91,10,0.152,1.127,0.202,9-1/8,0.4375,6.5,---,0.18,0.167,43.799,22.1,4.42,3.4,0.112,0.118,0.242,0.02,2.45,3.43,0.99
MC 9 x 25.4,7.47,9,0.45,3.5,0.55,6-1/2,1.25,25.4,2,0.97,0.986,4.68,87.9,19.5,3.43,7.57,2.99,1.01,0.691,104,4.08,0.77
MC 9 x 23.9,7.02,9,0.4,3.45,0.55,6-1/2,1.25,23.9,2,0.981,1.04,4.74,84.9,18.9,3.48,7.14,2.89,1.01,0.599,98,4.15,0.762
MC 8 x 22.8,6.7,8,0.427,3.5,0.525,5-5/8,1.1875,22.8,2,1.01,1.04,4.35,63.8,15.9,3.09,7.01,2.81,1.02,0.572,75.2,3.84,0.715
MC 8 x 21.4,6.28,8,0.375,3.45,0.525,5-5/8,1.1875,21.4,2,1.02,1.09,4.42,61.5,15.4,3.13,6.58,2.71,1.02,0.495,70.8,3.91,0.709
MC 8 x 20,5.88,8,0.4,3.03,0.5,5-3/4,1.125,20,2,0.84,0.843,5.29,54.4,13.6,3.04,4.42,2.02,0.867,0.441,47.8,3.58,0.779
MC 8 x 18.7,5.5,8,0.353,2.98,0.5,5-3/4,1.125,18.7,2,0.849,0.889,5.37,52.4,13.1,3.09,4.15,1.95,0.868,0.38,45,3.65,0.773
MC 8 x 8.5,2.5,8,0.179,1.87,0.311,6-3/8,0.8125,8.5,2,0.428,0.542,13.7,23.3,5.82,3.05,0.624,0.431,0.5,0.0587,8.21,3.24,0.91
MC 7 x 22.7,6.67,7,0.503,3.6,0.5,4-3/4,1.125,22.7,2,1.04,1.01,3.89,47.4,13.5,2.67,7.24,2.83,1.04,0.625,58.3,3.52,0.661
MC 7 x 19.1,5.61,7,0.352,3.45,0.5,4-3/4,1.125,19.1,2,1.08,1.15,4.06,43.1,12.3,2.77,6.06,2.55,1.04,0.407,49.3,3.71,0.638
MC 6 x 18,5.29,6,0.379,3.5,0.475,3-7/8,1.0625,18,2,1.12,1.17,3.6,29.7,9.89,2.37,5.88,2.47,1.05,0.379,34.6,3.46,0.562
MC 6 x 16.3,4.79,6,0.375,3,0.475,3-7/8,1.0625,16.3,1-3/4,0.927,0.93,4.21,26,8.66,2.33,3.77,1.82,0.887,0.336,22.1,3.11,0.643
MC 6 x 15.3,4.49,6,0.34,3.5,0.385,4-1/4,0.875,15.3,2,1.05,1.16,4.45,25.3,8.44,2.38,4.91,2.01,1.05,0.223,30,3.41,0.579
MC 6 x 15.1,4.44,6,0.316,2.94,0.475,3-7/8,1.0625,15.1,1-3/4,0.94,0.982,4.29,24.9,8.3,2.37,3.46,1.73,0.883,0.285,20.5,3.18,0.634
MC 6 x 12,3.53,6,0.31,2.5,0.375,4-1/4,0.875,12,1-1/2,0.704,0.725,6.41,18.7,6.24,2.3,1.85,1.03,0.724,0.155,11.3,2.8,0.74
