L 3 1/2 x 2 1/2 x 5/16,3.5,2.5,0.3125,0.6875,6.1,1.79,2.2,0.925,1.11,1.13,0.937,0.501,0.723,0.632,0.538,0.5,0.0611,0.0426,1.71,--
L 3 1/2 x 2 1/2 x 1/4,3.5,2.5,0.25,0.625,4.94,1.45,1.81,0.753,1.12,1.1,0.775,0.41,0.731,0.607,0.541,0.504,0.0322,0.0225,1.72,--
L 3 x 2 1/2 x 1/2,3,2.5,0.5,0.875,8.53,2.51,2.07,1.03,0.91,0.995,1.29,0.736,0.718,0.746,0.516,0.666,0.213,0.112,1.46,--
L 3 x 2 1/2 x 7/16,3,2.5,0.4375,0.8125,7.56,2.22,1.87,0.921,0.917,0.972,1.17,0.656,0.724,0.724,0.516,0.671,0.146,0.0777,1.48,--
L 3 x 2 1/2 x 3/8,3,2.5,0.375,0.75,6.56,1.93,1.65,0.803,0.924,0.949,1.03,0.573,0.731,0.701,0.517,0.675,0.0943,0.0507,1.49,--
L 3 x 2 1/2 x 5/16,3,2.5,0.3125,0.6875,5.54,1.63,1.41,0.681,0.932,0.925,0.888,0.487,0.739,0.677,0.518,0.68,0.056,0.0304,1.51,--
L 3 x 2 1/2 x 1/4,3,2.5,0.25,0.625,4.49,1.32,1.16,0.555,0.94,0.9,0.734,0.397,0.746,0.653,0.52,0.683,0.0296,0.0161,1.52,--
L 3 x 2 1/2 x 3/16,3,2.5,0.1875,0.5625,3.41,1,0.899,0.423,0.947,0.874,0.568,0.303,0.753,0.627,0.521,0.687,0.013,0.007,1.53,--
L 3 x 2 x 1/2,3,2,0.5,0.8125,7.7,2.26,1.92,1,0.922,1.08,0.667,0.47,0.543,0.58,0.425,0.413,0.192,0.0908,1.39,--
L 3 x 2 x 7/16,3,2,0.4375,0.75,6.8,2,1.73,0.894,0.932,1.06,0.609,0.424,0.553,0.561,0.429,0.421,0.132,0.06319,1.41,--
L 3 x 2 x 3/8,3,2,0.375,0.6875,5.95,1.75,1.54,0.779,0.937,1.03,0.539,0.368,0.555,0.535,0.426,0.426,0.0855,0.0413,1.42,--
L 3 x 2 x 5/16,3,2,0.3125,0.625,5.03,1.48,1.32,0.662,0.945,1.01,0.467,0.314,0.562,0.511,0.428,0.432,0.051,0.0248,1.44,--
L 3 x 2 x 1/4,3,2,0.25,0.5625,4.09,1.2,1.09,0.541,0.953,0.98,0.39,0.258,0.569,0.487,0.431,0.437,0.027,0.0132,1.45,--
L 3 x 2 x 3/16,3,2,0.1875,0.5,3.12,0.917,0.847,0.414,0.961,0.952,0.305,0.198,0.577,0.462,0.435,0.442,0.0119,0.0058,1.46,--
L 2 1/2 x 2 x 3/8,2.5,2,0.375,0.625,5.3,1.56,0.914,0.546,0.766,0.826,0.513,0.361,0.574,0.578,0.419,0.613,0.0746,0.0268,1.21,--
L 2 1/2 x 2 x 5/16,2.5,2,0.3125,0.5625,4.49,1.32,0.79,0.465,0.774,0.803,0.446,0.309,0.581,0.555,0.42,0.618,0.0444,0.0162,1.23,--
L 2 1/2 x 2 x 1/4,2.5,2,0.25,0.5,3.65,1.07,0.656,0.381,0.782,0.779,0.372,0.253,0.589,0.532,0.423,0.624,0.0235,0.0087,1.25,--
L 2 1/2 x 2 x 3/16,2.5,2,0.1875,0.4375,2.78,0.818,0.511,0.293,0.79,0.754,0.292,0.195,0.597,0.508,0.426,0.628,0.0103,0.0038,1.26,--
