L 2 1/2 x 2 1/2 x 3/16,2.5,2.5,0.1875,0.4375,3.06,0.901,0.535,0.295,0.771,0.687,0.535,0.295,0.771,0.687,0.482,1,0.0114,0.0051,1.38,0.628
L 2 x 2 x 3/8,2,2,0.375,0.625,4.65,1.37,0.476,0.348,0.591,0.632,0.476,0.348,0.591,0.632,0.386,1,0.0658,0.0174,1.04,0.638
L 2 x 2 x 5/16,2,2,0.3125,0.5625,3.94,1.16,0.414,0.298,0.598,0.609,0.414,0.298,0.598,0.609,0.386,1,0.0393,0.0106,1.06,0.635
L 2 x 2 x 1/4,2,2,0.25,0.5,3.21,0.944,0.346,0.244,0.605,0.586,0.346,0.244,0.605,0.586,0.387,1,0.0209,0.0057,1.08,0.633
L 2 x 2 x 3/16,2,2,0.1875,0.4375,2.46,0.722,0.271,0.188,0.612,0.561,0.271,0.188,0.612,0.561,0.389,1,0.0092,0.0025,1.09,0.632
L 2 x 2 x 1/8,2,2,0.125,0.375,1.67,0.491,0.189,0.129,0.62,0.534,0.189,0.129,0.62,0.534,0.391,1,0.0029,0.0008,1.1,0.633
L 1 3/4 x 1 3/4 x 1/4,1.75,1.75,0.25,0.5,2.77,0.813,0.227,0.186,0.529,0.529,0.227,0.186,0.529,0.529,0.341,1,0.01823,0.00372,0.941,0.631
L 1 3/4 x 1 3/4 x 3/16,1.75,1.75,0.1875,0.4375,2.12,0.621,0.179,0.144,0.537,0.506,0.179,0.144,0.537,0.506,0.343,1,0.00769,0.00166,0.957,0.629
L 1 1/2 x 1 1/2 x 1/4,1.5,1.5,0.25,0.4375,2.34,0.688,0.139,0.134,0.449,0.466,0.139,0.134,0.449,0.466,0.292,1,0.01563,0.00226,0.798,0.635
L 1 1/2 x 1 1/2 x 3/16,1.5,1.5,0.1875,0.375,1.8,0.527,0.11,0.104,0.457,0.444,0.11,0.104,0.457,0.444,0.293,1,0.00659,0.00102,0.814,0.63
L 1 1/4 x 1 1/4 x 1/4,1.25,1.25,0.25,0.4375,1.92,0.563,0.077,0.091,0.369,0.403,0.077,0.091,0.369,0.403,0.243,1,0.01302,0.00124,0.654,0.639
L 1 1/4 x 1 1/4 x 3/16,1.25,1.25,0.1875,0.375,1.48,0.434,0.061,0.071,0.377,0.381,0.061,0.071,0.377,0.381,0.244,1,0.00549,0.00057,0.668,0.63
L 1 1/8 x 1 1/8 x 1/8,1.125,1.125,0.125,0.21875,0.9,0.266,0.032,0.04,0.345,0.327,0.032,0.04,0.345,0.327,0.221,1,0.00146,0.00013,0.617,0.632
L 1 x 1 x 1/8,1,1,0.125,0.25,0.8,0.234,0.022,0.031,0.304,0.296,0.022,0.031,0.304,0.296,0.196,1,0.0013,0.00009,0.545,0.633
