HSS 2.375 x 0.125  ,2.375,2.143,0.116,3.01,0.823,0.5,0.443,0.8,1.1
HSS 1.900 x 0.145  ,1.9,1.63,0.135,2.72,0.749,0.3,0.309,0.626,0.6
HSS 1.660 x 0.140  ,1.66,1.4,0.13,2.27,0.625,0.2,0.222,0.543,0.4
PIPE 1/2 x STD  ,0.84,0.622,0.109,0.852,0.25,0.0,0.0407,0.261,0.0
PIPE 3/4 x STD  ,1.05,0.824,0.113,1.13,0.333,0.0,0.0705,0.334,0.1
PIPE 1 x STD  ,1.32,1.05,0.133,1.68,0.494,0.1,0.133,0.421,0.2
PIPE 1 1/4 x STD  ,1.66,1.38,0.14,2.27,0.669,0.2,0.235,0.54,0.4
PIPE 1 1/2 x STD  ,1.9,1.61,0.145,2.72,0.799,0.3,0.326,0.623,0.6
PIPE 2 x STD  ,2.38,2.07,0.154,3.66,1.07,0.7,0.561,0.787,1.3
PIPE 2 1/2 x STD  ,2.88,2.47,0.203,5.8,1.7,1.5,1.06,0.947,3.1
PIPE 3 x STD  ,3.5,3.07,0.216,7.58,2.23,3.0,1.72,1.16,6.0
PIPE 3 1/2 x STD  ,4,3.55,0.226,9.12,2.68,4.8,2.39,1.34,9.6
PIPE 4 x STD  ,4.5,4.03,0.237,10.8,3.17,7.2,3.21,1.51,14.5
PIPE 5 x STD  ,5.56,5.05,0.258,14.6,4.3,15.2,5.45,1.88,30.3
PIPE 6 x STD  ,6.63,6.07,0.28,19,5.58,28.1,8.5,2.25,56.3
PIPE 8 x STD  ,8.63,7.98,0.322,28.6,8.4,72.5,16.8,2.94,145.0
PIPE 10 x STD  ,10.8,10,0.365,40.5,11.9,161.0,29.9,3.67,321.0
PIPE 12 x STD  ,12.8,12,0.375,49.6,14.6,279.0,43.8,4.38,559.0
PIPE 1/2 x XS  ,0.84,0.546,0.147,1.09,0.32,0.0,0.0478,0.25,0.0
PIPE 3/4 x XS  ,1.05,0.742,0.154,1.48,0.433,0.0,0.0853,0.321,0.1
PIPE 1 x XS  ,1.32,0.957,0.179,2.17,0.639,0.1,0.161,0.407,0.2
PIPE 1 1/4 x XS  ,1.66,1.28,0.191,3,0.881,0.2,0.291,0.524,0.5
PIPE 1 1/2 x XS  ,1.9,1.5,0.2,3.63,1.07,0.4,0.412,0.605,0.8
PIPE 2 x XS  ,2.38,1.94,0.218,5.03,1.48,0.9,0.731,0.766,1.7
PIPE 2 1/2 x XS  ,2.88,2.32,0.276,7.67,2.25,1.9,1.34,0.924,3.9
PIPE 3 x XS  ,3.5,2.9,0.3,10.3,3.02,3.9,2.23,1.14,7.8
PIPE 3 1/2 x XS  ,4,3.36,0.318,12.5,3.68,6.3,3.14,1.31,12.6
PIPE 4 x XS  ,4.5,3.83,0.337,15,4.41,9.6,4.27,1.48,19.2
PIPE 5 x XS  ,5.56,4.81,0.375,20.8,6.11,20.7,7.43,1.84,41.3
PIPE 6 x XS  ,6.63,5.76,0.432,28.6,8.4,40.5,12.2,2.19,81.0
PIPE 8 x XS  ,8.63,7.63,0.5,43.4,12.8,106.0,24.5,2.88,211.0
PIPE 10 x XS  ,10.8,9.75,0.5,54.8,16.1,212.0,39.4,3.63,424.0
PIPE 12 x XS  ,12.8,11.8,0.5,65.5,19.2,362.0,56.7,4.33,723.0
PIPE 2 x XXS  ,2.38,1.5,0.436,9.04,2.66,1.3,1.1,0.703,2.6
PIPE 2 1/2 x XXS  ,2.88,1.77,0.552,13.7,4.03,2.9,2,0.844,5.7
PIPE 3 x XXS  ,3.5,2.3,0.6,18.6,5.47,6.0,3.42,1.05,12.0
PIPE 4 x XXS  ,4.5,3.15,0.674,27.6,8.1,15.3,6.79,1.37,30.6
PIPE 5 x XXS  ,5.56,4.06,0.75,38.6,11.3,33.6,12.1,1.72,67.3
PIPE 6 x XXS  ,6.63,4.9,0.864,53.2,15.6,66.3,20,2.06,133.0
PIPE 8 x XXS  ,8.63,6.88,0.875,72.5,21.3,162.0,37.6,2.76,324.0
