OR 32 x 32 x 4,32,32,4.4,3.54,4.33,5.1,3.2,1.08,5.1,3.2,1.08,4.2,4.2,9.1
OR 32 x 32 x 3,32,32,2.9,2.63,3.17,4.2,2.7,1.15,4.2,2.7,1.15,3.3,3.3,7.2
OR 813 x 610 x 16,813,610,15.9,336.03,428.39,411236.6,10110.8,30.99,265971.9,8734.3,24.92,12011.7,9897.8,524451.6
OR 813 x 610 x 13,813,610,12.7,273.08,347.74,339644.8,8357.4,31.24,219770.2,7210.3,25.12,9848.6,8111.6,420393.7
OR 813 x 610 x 10,813,610,9.5,206.78,263.23,260144.6,6407.4,31.50,168573.7,5522.5,25.30,7505.3,6194.3,319249.5
OR 762 x 610 x 16,762,610,15.9,323.38,412.26,352964.2,9258.7,29.21,251820.0,8259.1,24.71,10946.6,9422.6,474503.8
OR 762 x 610 x 13,762,610,12.7,262.96,334.84,291778.2,7669.2,29.46,208115.7,6833.4,24.94,8980.1,7734.7,383765.4
OR 762 x 610 x 10,762,610,9.5,199.18,253.55,223932.5,5883.0,29.72,159832.9,5243.9,25.10,6849.8,5899.4,290945.8
OR 711 x 610 x 16,711,610,15.9,310.71,396.13,300102.9,8439.4,27.43,237668.1,7800.3,24.51,9914.2,8947.4,428718.4
OR 711 x 610 x 13,711,610,12.7,252.82,321.93,248490.2,6980.9,27.69,196877.5,6456.5,24.71,8144.4,7341.4,346720.8
OR 711 x 610 x 10,711,610,9.5,191.59,243.87,190634.0,5358.6,27.94,151092.0,4948.9,24.87,6210.7,5604.4,263058.3
OR 660 x 610 x 16,660,610,15.9,298.05,380.00,252236.2,7636.4,25.65,223516.3,7325.0,24.26,8931.0,8472.1,384597.8
OR 660 x 610 x 13,660,610,12.7,242.69,309.03,208948.2,6325.4,25.91,185223.0,6079.6,24.49,7341.4,6964.5,310508.6
OR 660 x 610 x 10,660,610,9.5,184.00,234.19,160665.3,4867.0,26.16,142351.1,4670.3,24.64,5604.4,5309.4,235587.0
OR 610 x 559 x 16,610,559,15.9,272.74,347.74,194796.3,6391.0,23.70,171071.1,6112.4,22.17,7505.3,7079.2,297605.5
OR 610 x 559 x 13,610,559,12.7,222.44,283.23,162330.3,5325.8,23.93,142351.1,5096.4,22.40,6194.3,5833.8,240581.8
OR 610 x 559 x 10,610,559,9.5,168.80,214.84,124869.4,4096.8,24.10,109468.9,3916.5,22.58,4735.9,4473.7,182725.6
OR 559 x 508 x 16,559,508,15.9,247.41,315.48,146929.7,5260.3,21.62,127366.8,5014.5,20.09,6210.7,5817.4,224765.0
OR 559 x 508 x 13,559,508,12.7,202.18,257.42,122788.3,4408.1,21.84,106555.2,4195.1,20.32,5129.2,4817.8,181893.1
OR 559 x 508 x 10,559,508,9.5,153.61,195.48,94900.8,3392.1,22.02,81997.6,3228.3,20.50,3932.9,3687.1,138605.1
