TR 305 x 77.4,99,305,13,325,19,32,77,7867,328,9,7,5411,333,7,98,3115,13,1
TR 312 x 76.6,97,312,14,229,25,38,77,8491,361,9,8,2485,218,5,147,3303,12,1
TR 310 x 69.9,89,310,13,230,22,35,70,7742,333,9,8,2268,197,5,109,2570,12,1
TR 307 x 62.5,80,307,12,229,20,32,63,6909,300,9,8,1965,172,5,77,1853,12,1
TR 305 x 56.6,72,305,11,228,17,30,57,6285,277,9,8,1719,150,5,56,1423,12,1
TR 302 x 50.6,65,302,11,228,15,28,51,5702,256,9,8,1465,129,5,39,1096,13,1
TR 302 x 46.1,59,302,11,179,15,30,46,5494,256,10,9,716,80,3,37,1053,13,1
TR 300 x 40.9,53,300,10,178,13,28,41,4870,231,10,9,604,68,3,26,787,13,1
TR 292 x 149.6,191,292,23,320,41,54,150,11863,523,8,7,11280,706,8,849,22933,12,1
TR 290 x 135.4,173,290,21,318,38,50,135,10531,467,8,6,10031,633,8,637,16918,12,1
TR 284 x 123.5,157,284,19,315,35,47,124,9407,418,8,6,9032,574,8,491,12702,12,1
TR 279 x 109.4,139,279,18,318,29,42,109,8491,388,8,6,7825,492,7,320,8727,12,1
TR 277 x 98.2,125,277,17,315,26,39,98,7534,346,8,6,6909,438,7,234,6284,12,1
TR 274 x 90.8,115,274,15,315,24,37,91,6909,316,8,6,6327,403,7,186,4941,12,1
TR 274 x 82.6,105,274,14,312,22,35,83,6243,287,8,6,5702,364,7,142,3706,12,1
TR 272 x 75.2,96,272,13,312,20,33,75,5619,259,8,6,5161,331,7,108,2793,12,1
TR 274 x 69.2,88,274,15,214,24,36,69,5994,293,8,7,1931,180,5,125,2505,11,1
TR 272 x 61.8,79,272,13,212,21,34,62,5286,257,8,7,1694,160,5,90,1745,11,1
TR 269 x 54.3,69,269,12,211,19,31,54,4579,226,8,7,1469,139,5,63,1187,11,1
TR 269 x 50.6,65,269,11,210,17,30,51,4287,211,8,7,1349,128,5,51,972,11,1
TR 267 x 46.1,59,267,10,209,16,28,46,3904,195,8,7,1195,114,4,38,747,11,1
TR 267 x 42.4,54,267,10,167,17,29,42,3763,193,8,7,637,77,3,37,671,11,1
TR 264 x 40.9,52,264,10,209,13,26,41,3513,179,8,7,1007,97,4,26,559,11,1
TR 264 x 37.2,47,264,10,166,14,26,37,3342,175,8,7,520,63,3,24,508,11,1
TR 262 x 35.7,46,262,9,207,11,24,36,3118,162,8,7,807,78,4,17,408,11,1
TR 262 x 32.7,42,262,9,165,11,24,33,2959,159,8,8,429,52,3,16,376,11,1
TR 283 x 231.4,295,283,39,305,70,87,231,15942,762,7,7,16566,1085,7,3630,91034,11,1
TR 277 x 210.6,268,277,36,302,64,81,211,14027,680,7,7,14651,970,7,2768,67403,11,1
TR 273 x 192,245,273,33,299,58,76,192,12404,606,7,7,13070,875,7,2144,50753,11,1
TR 267 x 174.1,222,267,29,296,54,70,174,10822,534,7,6,11613,785,7,1640,37595,11,1
