OC 102 x 8  ,102,87,0.74,18.3,21.87,244,48,3.35,487
OC 102 x 6.4  ,102,90,0.59,14.88,17.81,204,40,3.38,409
OC 102 x 6  ,102,90,0.56,14.18,16.9,196,39,3.4,391
OC 102 x 5.7  ,102,91,0.54,13.57,16.19,188,37,3.4,376
OC 102 x 5.6  ,102,91,0.52,13.23,15.74,184,36,3.4,368
OC 102 x 4.8  ,102,93,0.44,11.4,13.48,159,31,3.43,319
OC 102 x 3.2  ,102,96,0.29,7.71,9.16,111,22,3.48,222
OC 89 x 8  ,89,74,0.74,15.92,18.9,159,36,2.9,317
OC 89 x 7.6  ,89,75,0.71,15.33,18.26,154,35,2.9,308
OC 89 x 6.4  ,89,77,0.59,12.93,15.42,134,30,2.95,267
OC 89 x 5.5  ,89,79,0.51,11.28,13.42,118,27,2.97,237
OC 89 x 5.2  ,89,79,0.48,10.64,12.71,112,25,2.97,225
OC 89 x 4.8  ,89,80,0.44,9.91,11.74,105,24,3,210
OC 89 x 3.2  ,89,83,0.29,6.71,7.94,74,17,3.05,147
OC 76 x 7.6  ,76,62,0.71,12.89,15.42,93,24,2.46,186
OC 76 x 6.4  ,76,64,0.59,10.94,13.1,81,21,2.49,162
OC 76 x 5.5  ,76,66,0.51,9.57,11.42,72,19,2.52,145
OC 76 x 5.2  ,76,67,0.48,9.03,10.77,69,18,2.53,138
OC 76 x 4.8  ,76,67,0.44,8.41,9.94,65,17,2.54,129
OC 76 x 3.9  ,76,69,0.36,6.89,8.19,54,14,2.57,109
OC 76 x 3.4  ,76,70,0.32,6.12,7.29,49,13,2.59,97
OC 76 x 3  ,76,71,0.28,5.49,6.58,44,12,2.59,88
OC 73 x 6.4  ,73,61,0.59,10.45,12.45,71,19,2.38,142
OC 73 x 5.2  ,73,63,0.48,8.63,10.26,60,17,2.42,120
OC 73 x 4.8  ,73,64,0.44,8.04,9.55,56,15,2.43,112
OC 73 x 3.2  ,73,67,0.29,5.46,6.52,40,11,2.48,80
OC 64 x 6.4  ,64,52,0.59,8.94,10.71,45,14,2.05,89
OC 64 x 4.8  ,64,55,0.44,6.92,8.19,36,11,2.1,72
OC 64 x 3.2  ,64,58,0.29,4.72,5.61,26,8,2.14,52
OC 60 x 6.4  ,60,48,0.59,8.45,10.13,38,13,1.94,76
OC 60 x 5.5  ,60,50,0.52,7.49,8.97,34,11,1.96,69
OC 60 x 4.8  ,60,51,0.44,6.55,7.74,31,10,1.98,61
OC 60 x 3.9  ,60,53,0.36,5.45,6.45,26,9,2.01,52
OC 60 x 3.2  ,60,54,0.29,4.48,5.31,22,7,2.03,44
OC 48 x 3.7  ,48,41,0.34,4.05,4.83,12,5,1.59,24
OC 42 x 3.6  ,42,36,0.33,3.38,4.03,8,4,1.38,15
OC 13 x STD  ,21,16,0.28,1.27,1.61,1,1,0.66,1
OC 19 x STD  ,27,21,0.29,1.68,2.15,2,1,0.85,3
OC 25 x STD  ,34,27,0.34,2.5,3.19,4,2,1.07,7
OC 32 x STD  ,42,35,0.36,3.38,4.32,8,4,1.37,16
OC 38 x STD  ,48,41,0.37,4.05,5.15,13,5,1.58,26
OC 51 x STD  ,60,53,0.39,5.45,6.9,28,9,2,55
OC 64 x STD  ,73,63,0.52,8.63,10.97,64,17,2.41,127
OC 76 x STD  ,89,78,0.55,11.28,14.39,126,28,2.95,251
OC 89 x STD  ,102,90,0.57,13.57,17.29,199,39,3.4,399
OC 102 x STD  ,114,102,0.6,16.07,20.45,301,53,3.84,604
OC 127 x STD  ,141,128,0.66,21.73,27.74,633,89,4.78,1261
OC 152 x STD  ,168,154,0.71,28.28,36,1170,139,5.72,2343
OC 203 x STD  ,219,203,0.82,42.56,54.19,3018,275,7.47,6035
OC 254 x STD  ,274,254,0.93,60.27,76.77,6701,490,9.32,13361
OC 305 x STD  ,325,305,0.95,73.81,94.19,11613,718,11.13,23267
OC 13 x XS  ,21,14,0.37,1.62,2.06,1,1,0.64,2
OC 19 x XS  ,27,19,0.39,2.2,2.79,2,1,0.82,4
OC 25 x XS  ,34,24,0.45,3.23,4.12,4,3,1.03,9
OC 32 x XS  ,42,33,0.49,4.46,5.68,10,5,1.33,20
OC 38 x XS  ,48,38,0.51,5.4,6.9,16,7,1.54,33
OC 51 x XS  ,60,49,0.55,7.49,9.55,36,12,1.95,72
OC 64 x XS  ,73,59,0.7,11.41,14.52,80,22,2.35,160
OC 76 x XS  ,89,74,0.76,15.33,19.48,162,37,2.9,324
OC 89 x XS  ,102,85,0.81,18.6,23.74,261,51,3.33,524
OC 102 x XS  ,114,97,0.86,22.32,28.45,400,70,3.76,799
OC 127 x XS  ,141,122,0.95,30.95,39.42,862,122,4.67,1719
OC 152 x XS  ,168,146,1.1,42.56,54.19,1686,200,5.56,3371
OC 203 x XS  ,219,194,1.27,64.59,82.58,4412,401,7.32,8782
OC 254 x XS  ,274,248,1.27,81.55,103.87,8824,646,9.22,17648
OC 305 x XS  ,325,300,1.27,97.47,123.87,15068,929,11,30094
OC 51 x XXS  ,60,38,1.11,13.45,17.16,55,18,1.79,109
OC 64 x XXS  ,73,45,1.4,20.39,26,119,33,2.14,239
OC 76 x XXS  ,89,58,1.52,27.68,35.29,249,56,2.67,499
OC 102 x XXS  ,114,80,1.71,41.07,52.26,637,111,3.48,1274
OC 127 x XXS  ,141,103,1.91,57.44,72.9,1399,198,4.37,2801
OC 152 x XXS  ,168,124,2.19,79.17,100.64,2760,328,5.23,5536
OC 203 x XXS  ,219,175,2.22,107.89,137.42,6743,616,7.01,13486
